OBJECTID,NOMBRE,IDENTIFICACION,COMUNA,CASOS_2013,TASA_2013,CASOS_2014,TASA_2014,CASOS_2015,TASA_2015,CASOS_2016,TASA_2016,CASOS_2017,TASA_2017,CASOS_2018,TASA_2018,CASOS_2019,TASA_2019,CASOS_2020,TASA_2020,SHAPE__Area,SHAPE__Length
1,Popular,Comuna 1,01,126,97.56550827,100,77.05288139,93,71.33597711,117,89.37164856,147,111.83384686,118,86.14018951,129,91.99960062,118,82.49498389,3155107.41894531,9690.72847995771
2,Santa Cruz,Comuna 2,02,89,80.76078474,53,47.80890869,42,37.68438431,77,68.75491107,108,95.98805482,111,98.17448525,90,77.86275392,77,65.3961136,2236184.48535156,8678.18933695557
3,Manrique,Comuna 3,03,129,81.63110335,97,61.05351939,109,68.27092911,99,61.72916485,157,97.47314832,153,92.80714312,173,102.5343164,178,103.43424952,5189810.51416016,12190.506230138
4,Aranjuez,Comuna 4,04,103,63.78064412,70,43.24057201,86,53.00396913,106,65.19225565,112,68.74750637,157,111.10167572,129,90.21609903,116,80.42542275,4972963.38818359,9740.21714813016
5,Castilla,Comuna 5,05,101,68.01804835,96,64.37207057,99,66.10974217,88,58.53126434,130,86.16061664,95,76.61784631,117,93.39378652,81,64.18383518,6175548.94042969,16258.2242879977
6,Doce de Octubre,Comuna 6,06,137,71.21285366,129,66.82587456,135,69.71088058,150,77.22445029,162,83.16776787,167,94.24911112,162,90.25421604,122,67.3159158,3920724.91113281,10810.3208709449
7,Robledo,Comuna 7,07,135,80.05977797,101,59.34962216,114,66.41034603,150,86.66762964,188,107.79445661,206,108.85762902,187,96.37088878,167,84.22687796,9635315.99853516,23465.6289472722
8,Villa Hermosa,Comuna 8,08,138,101.19156737,127,92.71697232,121,87.98016447,121,87.65257706,110,79.39830521,140,91.37426901,161,102.11330137,113,69.87039968,5821444.03955078,16534.701180457
9,Buenos Aires,Comuna 9,09,125,91.80780587,99,72.53969533,117,85.54257388,152,110.90923684,135,98.3570726,144,92.66945962,174,108.71942266,155,94.3516822,6162825.10498047,18527.969634401
10,La Candelaria,Comuna 10,10,71,83.2132016,66,77.26708656,77,90.05321326,87,101.65095166,101,117.9107614,110,144.90271758,112,145.35449626,115,147.57590535,7495058.51220703,13762.5798482704
11,Laureles Estadio,Comuna 11,11,45,36.98285639,41,33.61509892,52,42.53822305,64,52.24361852,60,48.88222642,71,71.0682255,79,78.41268896,60,59.22065616,7537481.9296875,16507.0080638432
12,La América,Comuna 12,12,27,28.26544392,35,36.49026231,33,34.27574316,42,43.47241055,65,67.0670051,54,63.22000562,69,79.85833825,56,64.27325314,4045639.06005859,15567.1913618768
13,San Javier,Comuna 13,13,82,59.99019672,92,66.94706816,102,73.87931596,122,88.00721371,145,104.18537812,111,70.59137768,119,73.65593394,111,67.09543267,4937500.95556641,26618.4096537109
14,El Poblado,Comuna 14,14,47,37.34871783,58,45.53090607,54,41.91277486,73,56.06500468,66,50.19545807,61,57.11343102,80,73.83820204,48,43.79562044,14674678.5175781,20158.7397898732
15,Belén,Comuna 16,16,93,47.54892938,101,51.48464381,133,67.61772093,157,79.64570344,181,91.69246045,162,79.83009003,153,74.00420808,115,54.75799348,9016556.45458984,25912.0100206395
16,Corregimiento de San Sebastián de Palmitas,Corregimiento 50,50,2,36.5230095,0,0,2,31.62555345,5,74.77194557,7,99.1360997,1,18.26817684,4,70.31112674,2,33.98470688,58859873.9707031,38776.3745078096
17,Corregimiento de San Cristóbal,Corregimiento 60,60,35,48.93872871,22,29.14177473,26,32.72168945,60,69.51283091,102,109.59257349,69,59.26816698,84,68.02555817,75,57.46509953,55102392.6445313,51620.6294327324
18,Corregimiento de Altavista,Corregimiento 70,70,16,47.80971733,11,31.44923807,15,41.13759153,15,40.02348044,20,51.84839529,19,48.89849701,11,27.39726027,12,29.02055623,29244339.3144531,35309.6180908194
19,Corregimiento de Santa Elena,Corregimiento 90,90,11,65.89193722,10,57.40857684,11,60.66957145,21,111.76752355,13,66.46556572,19,80.96130902,21,84.15821745,10,37.78718259,75468221.6674805,67129.1716680679
20,Corregimiento de San Antonio de Prado,Corregimiento 80,80,41,42.98054344,70,68.61197965,75,68.89836114,62,54.76935036,86,73.13298298,74,78.05824833,101,101.65260975,53,51.04891064,61654761.4663086,40857.930287078
21,Guayabal,Comuna 15,15,48,51.43261256,53,56.42619879,56,59.2780777,51,53.70682393,72,75.47407151,67,103.63335447,79,121.51789697,49,75.21566942,7420175.59326172,13413.2435068587
